nameid,high_WPM (time),avg_WPM (time),avg_acc,total match
Aomsin,30.11 (79.70 sec),31.68 (87.48 sec),62.69,2
Not,134.38 (16.07 sec),134.378554 (16.073993 secA),0.0,1
